"州名","見出し","現行地","統一新羅地名","景徳王以前地名","三国史記編纂時地名","音韻データ","アイヌ語解釈","出典"
"良州","良州","梁山市","良州","歃良州","梁州","随唐音：「歃」ʂ ăp／ʃ ɐp／ʃ ɐp／ʂ æp／ṣ ăp／ʃ ɐp
随唐音：「良」l i̯aŋ／l ǐaŋ／l jɑŋ／l iɑŋ／l jang／l ǐɑŋ
随唐音：「梁」l i̯aŋ／ll ǐaŋ／ll jɑŋ／ll iɑŋ／ll jang／ll ǐɑŋ","アイヌ語：「歃良（州）」＝
「サプ・リ・アゥ・ウン(sap-ri-aw-un)」＝「山から浜に出る、前にある・高い・角、枝分かれ・にある（ところ）」
アイヌ語：「良（州）」
＝
「リ・アゥ・ウン(ri-aw-un)」＝「高い・角、枝分かれ・にある（ところ）」
アイヌ語：「梁（州）」
＝
「リ・アゥ・ウン(ri-aw-un)」＝「高い・角、枝分かれ・にある（ところ）」","jomon2_bnum59.html"
"良州","𧖃陽県","蔚山広域市 蔚州郡 彦陽邑","𧖃陽県","居知火県","𧖃陽県","上古音：「居」k i̯o／k ǐa／k jaɡ／k jaɣ／k jag
上古音：「知」t i̯ĕɡ／t ǐe／t jeɡ／t ieɣ／t rig
上古音：「火」x wɑr／h uəi／x uə̂r／x wə／hw ərx
随唐音：「蜟（𧖃の異体字）」j ǐuk／0 juk／0 iuk／ji uk／0 ǐok
随唐音：「陽」0 i̯aŋ／j ǐaŋ／0 jɑŋ／0 iɑŋ／ji ang／0 ǐɑŋ","アイヌ語：「居知火（県）」
＝「キル・オ・テュ・エ・エン・ハィ(kir-o-tu-e-en-hay)」＝「山脚が・たくさんある・峰が・そこで・突き出ている・カジキマグロの顎（のような鋭く尖った峰）」
or「キル・アゥ・ウン・テュ・エ・エン・ハィ(kir-aw-un-tu-e-en-hay)」＝「山脚の・角、枝分かれ・にある・峰が・そこで・突き出ている・カジキマグロの顎（のような鋭く尖った峰）」
アイヌ語：「𧖃陽（県）」＝「イク・イ・アゥ・ウン(ik-i-aw-un)」＝「関節の（ように曲がった）・その・角、枝分かれ・にある（ところ）」※峰が曲がっている様子。","jomon2_bnum59.html"
"良州","金官小京","金海市","金海","金官／伽落国／伽耶","金州","上古音：「金」k i̯əm／k ǐəm／k jəm／k iəm／k jəm
上古音：「官」k wɑn／k uan／k uɑn／k wan／kw an
上古音：「伽」- -／- -／- -／- -／- -
上古音：「加」k a／k eai／k a／k ra／k rar
上古音：「落」ɡl ɑk／l ak／- -／l ak／gl ak
〈参考〉上古音：「羅」l ɑ／l ai／l ɑ／l a／l ar
上古音：「耶」z i̯ɔ／ʎ ia／- -／ɣr aɣ／- -
随唐音：「金」k i̯əm／k ǐěm／k jem／k iem／k jəm／k ǐəm
随唐音：「海」x ɑ̆i／h ɒi／x Ai／x əi／x ậi／x əi","アイヌ語：「金官」
＝「キル・アム・ク・アン(kir-am-ku-an)」＝「山脚の・爪の（ように平べったく鋭い峰の）・矢（先のような形の峰）・がある（ところ）」
or「キム・ク・アン(kim-ku-an)」＝「山の・矢（先のような形の峰）・がある（ところ）」
アイヌ語：「加落（国）」
＝
「ク・アゥ・ル・アク(ku-aw-ru-ak)」＝「矢（先のような形の峰）の・角、枝分かれの・消えかかった・矢（先のような形の峰）」
or「カ・ラケ(ka-rake)」＝「岸辺の・低地」＝加落
アイヌ語：「加耶」
＝
「ク・アゥ・イ・アゥ(ku-aw-i-aw)」＝「矢（先のような形の峰）の・角、枝分かれ・その・角、枝分かれ」
or「カ・ヤ(ka-ya)」＝「岸辺の・山手の方」
アイヌ語：「加羅」
＝
「ク・アゥ・ル・アゥ(ku-aw-ru-aw)」＝「矢（先のような形の峰）の・角、枝分かれ・消えかかった・角、枝分かれ」
or「カ・ラ(ka-ra)」＝「岸辺の・低地」＝加落
アイヌ語：「金海」
＝
「キル・アム・ハィ(kir-am-hay)」＝「山脚の・爪の（ように平べったく鋭い峰の）・カジキマグロの顎（のような突き出した峰）」
or
「キム・ハィ(kim-hay)」＝「山の・カジキマグロの顎（のような突き出した峰）」
or「キム・ヘ(kim-he)」＝「山の・頭、上手」
アイヌ語：「金（州）」
＝
「キル・アム(kir-am)」＝「山脚の・爪（のように平べったく鋭い峰）」
or「キム(kim)」＝「山」","jomon2_bnum59.html"
"良州","義安郡","昌原市","義安郡","屈自郡","義安郡","上古音：「屈」kʰ i̯wət／kʰ ǐwət／kʰ juə̆t／kʰ jwət／khw jət
上古音：「自」- -／z ǐei／dzʰ jed／dz jie／dz jidh
随唐音：「義」ŋ jie／ŋ ǐe／ŋ jĕ／- ie／ng jĕ／ŋ ǐɛ
随唐音：「安」ʔ ɑn／0 ɑn／ʔ ɑn／ʔ ɑn／· ân／ʔ ɑn","アイヌ語：「屈自（郡）」
＝「キル・アッ・チゥ・エ・エン(kir-at-ciw-e-en)」＝「山脚が・たくさんある・水流、水脈が・そこで・突き出ている（ところ）」
アイヌ語：「義安（郡）」
＝
「キル・イ・アゥ・ウン(kir-i-aw-un)」＝「山脚・その・角、枝分かれ・にある（ところ）」 ※昌原市の盆地に突き出た岬。","jomon2_bnum59.html"
"良州","漆隄県","慶尚南道 咸安郡漆原邑","漆隄県","漆吐県","漆園県","上古音：「漆」tsʰ i̯ĕt／tsʰ ǐet／tsʰ jet／tsʰ jiet／tsh jit
上古音：「吐」tʰ o／tʰ a／tʰ ɑɡ／tʰ aɣ／th agx
随唐音：「漆」tsʰ i̯ĕt／tsʰ ǐět／tsʰ jet／tsʰ iɪt／tsh jĕt／tsʰ ǐet
随唐音：「隄」t iei／t iei／t iɛi／t iɛi／t iei／t iei
随唐音：「園」ɡ i̯wăn ／ɣ ǐwan／ɣ juăn／ɣ jwan／gw jan","アイヌ語：「漆吐（県）」＝「チッ・タ(cit-ta)」＝「膣の（ような形の峰）・の方」
アイヌ語：「漆隄（県）」＝「チッ・テュ・エ・エン(cit-tu-e-en)」＝「膣の（ような形の）・峰が・そこで・突きでている（ところ）」
アイヌ語：「漆園（県）」＝「チッ・キル・ワ・アン(cit-kir-wa-an)」＝「膣の（ような形の）・山脚・に・ある（ところ）」","jomon2_bnum59.html"
"良州","合浦県","馬山市","合浦県","骨浦県","合浦県","上古音：「骨」k wət／k uət／k uə̂t／k wət／kw ət
上古音：「浦」pʰ wo／pʰ ua／pʰ uɑɡ／pʰ waɣ／ph agx
随唐音：「合」ɣ ɑ̆p／ɣ ɒp／ɣ Ap／ɣ əp／ɣ ập／ɣ əp
随唐音：「浦」pʰ uo／pʰ u／pʰ uo／pʰ uo／ph uo／pʰ u","アイヌ語：「骨浦（県）」
＝「キル・アッ・プ・アゥ(kir-at-pu-aw)」＝「山脚が・たくさんある・倉（の屋根のような三角山）の・角、枝分かれ」
or「キル・アッ・プ・アク(kir-at-pu-ak)」＝「山脚が・たくさんある・倉（の屋根のような三角山）の・弟（のように小さいもの）」
アイヌ語：「合浦（県）」
＝「カプ・プ・オ(kap-pu-o)」＝「薄っぺらな・倉（の屋根のような三角山）が・たくさんある（ところ）」","jomon2_bnum59.html"
"良州","熊神県","慶尚南道 昌原市 鎮海区","熊神県","熊只県","熊神県","上古音：「熊」ɡ i̯um／ɣ ǐwəŋ／ɣ juə̆ŋ／ɣ jwəŋ／gw jəm
上古音：「只」tɕ i̯ĕɡ／ȶ ǐe／c jeɡ／t jieɣ／k rjigx
随唐音：「熊」j i̯uŋ／ɣ ǐuŋ／ɣ juŋ／j iuŋ／j ung／j ǐoŋ
随唐音：「神」dʑʰ i̯ĕn／dʑ ǐěn／dʑʰ jen／ʑ iɪn／dź jĕn／dʑʰ ǐen","アイヌ語：「熊只（県）」＝「キル・ワ・アン・テュ・エ・エン(kir-wa-an-tu-e-en)」＝「山脚・に・ある・峰が・そこで・突き出ている（ところ）」
アイヌ語：「熊神（県）」＝「キル・ウン・テュ・エ・エン(kir-un-tu-e-en)」＝「山脚・にある・峰が・そこで・突き出ている（ところ）」","jomon2_bnum59.html"
"良州","密城郡","密陽市","密城郡","推火郡","密城郡","上古音：「推」tʰ wər／tʰ uəi／tʰ uə̂d／tʰ wər／th əd
上古音：「火」x wɑr／h uəi／x uə̂r／x wə／hw ərx
随唐音：「密」m i̯ĕt／m ǐět／m jĕt／m iet／m jĕt／m ǐet
随唐音：「城」ʑ i̯ɛŋ／ʑ ǐɛŋ／ʑ jɛŋ／dʑ iæŋ／ź jäng／ʑ ǐɛŋ","アイヌ語：「推火（郡）」＝「テュ・アッ・ハィ(tu-at-hay)」＝「峰が・たくさんある・カジキマグロの顎（のように鋭く突き出た峰）」
アイヌ語：「密城（郡）」＝「ムィ・アッ・テュ・エ・エン(muy-at-tu-e-en)」＝「頂が・たくさんある・峰が・そこで・突き出ている（ところ）」","jomon2_bnum59.html"
"良州","尚藥県","慶尚南道 昌寧郡 霊山面","尚藥県","西火県","靈山県","上古音：「西」s iər／s iei／s ied／s er／s id
上古音：「火」x wɑr／h uəi／x uə̂r／x wə／hw ərx
随唐音：「尚」ʑ i̯aŋ／ʑ ǐaŋ／ʑ jɑŋ／dʑ iɑŋ／ź jang／ʑ ǐɑŋ
随唐音：「藥」0 i̯ak／j ǐak／0 jɑk／0 iɑk／ji ak／0 ǐɑk
随唐音：「靈」l ieŋ／l ieŋ／l ieŋ／l iɛŋ／l ieng／l ieŋ
随唐音：「山」ʂ ăn／ʃ æn／ʃ æn／ʂ æn／ṣ ăn／ʃ ɐn","アイヌ語：「西火（県）」＝「シル・エ・エン・ハィ(sir-e-en-hay)」＝「山が・そこで・突き出ている・カジキマグロの顎（のように突き出たもの）」
アイヌ語：「尚藥（県）」＝「テュ・アゥ・ウン・イ・アク(tu-aw-un-i-ak)」＝「峰の・角、枝分かれ・にある・その・弟（ように小さいもの）or矢を射る（ところ）」
アイヌ語：「靈山（県）」＝「リ・エン・シル・エ・エン(ri-en-sir-e-en)」＝「高く・突き出ている・山が・そこで・突き出ている（ところ）」","jomon2_bnum59.html"
"良州","密津県","慶尚南道 昌寧郡 都泉面","密津県（or竹山）／密津県／竹山","推浦県","未詳","上古音：「推」tʰ wər／tʰ uəi／tʰ uə̂d／tʰ wər／th əd
上古音：「浦」pʰ wo／pʰ ua／pʰ uɑɡ／pʰ waɣ／ph agx
随唐音：「密」m i̯ĕt／m ǐět／m jĕt／m iet／m jĕt／m ǐet
随唐音：「津」ts i̯ĕn／ts ǐěn／ts jen／ts iɪn／ts jĕn／ts ǐen
随唐音：「竹」ȶ i̯uk／ȶ ǐuk／ȶ juk／ʈ iuk／ṭ juk／ȶ ǐok
随唐音：「山」ʂ ăn／ʃ æn／ʃ æn／ʂ æn／ṣ ăn／ʃ ɐn","アイヌ語：「推浦（県）」＝「テュ・エ・エン・プ・アゥ(tu-e-en-pu-aw)」＝「峰が・そこで・突き出ている・倉の（屋根のような三角山）・角、枝分かれ」
アイヌ語：「密津（県）」＝「ムィ・アッ・テュ・エ・エン(muy-at-tu-e-en)」＝「頭が・たくさんある・峰が・そこで・突き出ている（ところ）」
アイヌ語：「竹山（県）」＝「テュク・シル・エ・エン(tuk-sir-e-en)」＝「小山の・山が・そこで・突き出ている（ところ）」","jomon2_bnum59.html"
