"篇名","条","見出し","山海経訳","現行地","距離補正","音韻データ","アイヌ語解釈","出典"
"特別編：海内北経の倭国について","蓋国","蓋","「蓋国は鉅燕の南、倭の北にあり。倭は燕に属す」","燕の南。倭の北。渤海湾西岸から北岸。","","上古音：「蓋」k ɑb／k at／k ɑd, k  ɑb／k ar／k abh
上古音：「蓋」ɡʰ ɑp／ɣ ap／- -／ɡ ap／- -","アイヌ語：蓋
＝「ク(ku)・アッ(at)」＝「矢（のように鋭い峰）が・たくさんある（ところ）」
or「カプ(kap)」＝「薄っぺら（なところ）」
or「ク(ku)・アプ(ap)」＝「矢の（ように鋭い峰の）・釣り針（のように曲がったもの）」
or「キル(kir)・アプ(ap)」＝「峰の・釣り針（のように曲がったもの）」
※アイヌ語「ク＝弓」。中国大陸、朝鮮半島では「ク＝矢」の可能性。サハリン、シベリアのニヴフ（ギリヤーク）語も「ク＝矢」。","jomon2_bnum68.html"
"特別編：海内北経の倭国について","蓋国","鉅燕","「蓋国は鉅燕の南、倭の北にあり。倭は燕に属す」","燕の南。倭の北。渤海湾西岸から北岸。","","上古音：「鉅」ɡʰ i̯o／- -／ɡʰ jaɡ／ɡ jaɣ／g jagx
上古音：「燕」ʔ ian／0 ian／ʔ iæn／ʔ ean／· ianh","アイヌ語：鉅燕＝「キル(kir)・アク(ak)・イ(i)・アゥ(aw)・ウン(un)」＝「山脚の・弟（のように小さいところ）・その・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","蓋国","薊","「蓋国は鉅燕の南、倭の北にあり。倭は燕に属す」","燕の南。倭の北。渤海湾西岸から北岸。","","上古音：「薊」- -／k iat／k iæd／k ear／k iadh","アイヌ語：薊＝「キル(kir)・アッ(at)」＝「山が・たくさんある（ところ）」　※燕の首都","jomon2_bnum68.html"
"特別編：海内北経の倭国について","蓋国","倭","「蓋国は鉅燕の南、倭の北にあり。倭は燕に属す」","燕の南。倭の北。渤海湾西岸から北岸。","","上古音：「倭」ʔ i̯wăr／0 ǐwəi／ʔ juər／ʔ iwə／·w jər
上古音：「倭」- -／0 uəi／ʔ uə̂r／ʔ wə／·w ər","アイヌ語：倭
＝「イ(i)・ワ(wa)」＝「その・岸」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","朝鮮","朝鮮","「朝鮮は列陽の東の海、北山の南にあり。列陽は燕に属す」","","","上古音：「朝」t i̯oɡ／t ǐau／t jɔɡ／t iaw／t rjagw
上古音：「朝」dʰ i̯oɡ／d ǐau／dʰ jɔɡ／d iaw／d rjagw
上古音：「鮮」s i̯an／s ǐan／s jæn／s jian／s jan","アイヌ語：朝鮮＝「テュ(tu)・アク(ak)・シル(sir)・アゥ(aw)・ウン(un)」＝「峰の・弟（のように小さい）・山の・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","朝鮮","列陽","「朝鮮は列陽の東の海、北山の南にあり。列陽は燕に属す」","","","上古音：「列」l i̯at／l ǐat／l jæt／l iat／l jat
上古音：「陽」d i̯aŋ／ʎ ǐaŋ／d jaŋ／r iaŋ／r ang","アイヌ語：列陽
＝「リ(ri)・アッ(at)・テュ(tu)・アゥ(aw)・ウン(un)」＝「高い（ところが）・たくさんある・峰の・角、枝分かれ・にある（ところ）」
or「リ(ri)・アッ(at)・リ(ri)・アゥ(aw)・ウン(un)」＝「高い（ところが）・たくさんある・高い・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","朝鮮","北山","「朝鮮は列陽の東の海、北山の南にあり。列陽は燕に属す」","","","上古音：「北」p ək／p ək／p uə̂k／p wək／p ək
上古音：「山」s ăn／ʃ ean／-／s rian／s rian","アイヌ語：北山
＝「プ(pu)・アク(ak)・シル(sir)・アゥ(aw)・ウン(un)」＝「倉の（屋根のような三角山の）・弟の（ように小さい）・山の・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","朝鮮","遼","「朝鮮は列陽の東の海、北山の南にあり。列陽は燕に属す」","","","上古音：「遼」l ioɡ／l iau／l iɔɡ／l eaw／l iagw","アイヌ語：遼＝「リ(ri)・アク(ak)」＝「高い・弟の（ように小さい峰）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","朝鮮","大連","「朝鮮は列陽の東の海、北山の南にあり。列陽は燕に属す」","","","上古音：「大」tʰ ɑd, dʰ ɑd／d at／dʰ ɑd／d ar／d adh
上古音：「連」l i̯an／l ǐan／l jæn／l ian／l jan","アイヌ語：大連＝「テュ(tu)・アッ(at)・リ(ri)・アゥ(aw)・ウン(un)」＝「峰が・たくさんある・高い・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
"特別編：海内北経の倭国について","朝鮮","三山","「朝鮮は列陽の東の海、北山の南にあり。列陽は燕に属す」","","","上古音：「三」s əm／s əm／s ə̂m／s əm／s əm
上古音：「山」s ăn／ʃ ean／-／s rian／s rian","アイヌ語：三山
＝「サム(sam)・シル(sir)・アゥ(aw)・ウン(un)」＝「隣の・山の・角、枝分かれ・にある（ところ）」
or「シル(sir)・アム(am)・シル(sir)・アゥ(aw)・ウン(un)」＝「山の・爪の（ように平べったく鋭い）・山の・角、枝分かれ・にある（ところ）」","jomon2_bnum68.html"
